EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BOURGES (STAID: 32).
Blended and updated with sources: 100839 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100839,19790101,  -70,    0
100839,19790102,  -52,    0
100839,19790103,  -42,    0
100839,19790104,  -11,    0
100839,19790105,   14,    0
100839,19790106,   -4,    0
100839,19790107,  -33,    0
100839,19790108,  -24,    0
100839,19790109,   13,    0
100839,19790110,   30,    0
100839,19790111,   29,    0
100839,19790112,   16,    0
100839,19790113,  -14,    0
100839,19790114,  -33,    0
100839,19790115,  -26,    0
100839,19790116,  -32,    0
100839,19790117,  -46,    0
100839,19790118,   -5,    0
100839,19790119,   40,    0
100839,19790120,   78,    0
100839,19790121,   35,    0
100839,19790122,   40,    0
100839,19790123,   74,    0
100839,19790124,   15,    0
100839,19790125,   -7,    0
100839,19790126,    2,    0
100839,19790127,   24,    0
100839,19790128,   10,    0
100839,19790129,   32,    0
100839,19790130,   39,    0
100839,19790131,   24,    0
100839,19790201,   45,    0
100839,19790202,   82,    0
100839,19790203,   36,    0
100839,19790204,   66,    0
100839,19790205,   97,    0
100839,19790206,   77,    0
100839,19790207,  105,    0
100839,19790208,   91,    0
100839,19790209,  102,    0
100839,19790210,  116,    0
100839,19790211,  103,    0
100839,19790212,  101,    0
100839,19790213,   88,    0
100839,19790214,   78,    0
100839,19790215,  -20,    0
100839,19790216,  -23,    0
100839,19790217,  -13,    0
100839,19790218,    1,    0
100839,19790219,    2,    0
100839,19790220,   12,    0
100839,19790221,   39,    0
100839,19790222,   10,    0
100839,19790223,   26,    0
100839,19790224,   29,    0
100839,19790225,   27,    0
100839,19790226,   26,    0
100839,19790227,   25,    0
100839,19790228,   28,    0
100839,19790301,   33,    0
100839,19790302,   33,    0
100839,19790303,   86,    0
100839,19790304,   96,    0
100839,19790305,   63,    0
100839,19790306,   57,    0
100839,19790307,   72,    0
100839,19790308,   56,    0
100839,19790309,   59,    0
100839,19790310,   70,    0
100839,19790311,  108,    0
100839,19790312,  115,    0
100839,19790313,   92,    0
100839,19790314,   82,    0
100839,19790315,   65,    0
100839,19790316,   35,    0
100839,19790317,   60,    0
100839,19790318,   72,    0
100839,19790319,   81,    0
100839,19790320,   74,    0
100839,19790321,   67,    0
100839,19790322,   60,    0
100839,19790323,   56,    0
100839,19790324,  103,    0
100839,19790325,  120,    0
100839,19790326,   96,    0
100839,19790327,   80,    0
100839,19790328,   64,    0
100839,19790329,   36,    0
100839,19790330,   48,    0
100839,19790331,   60,    0
100839,19790401,   78,    0
100839,19790402,   88,    0
100839,19790403,   54,    0
100839,19790404,   52,    0
100839,19790405,   50,    0
100839,19790406,   44,    0
100839,19790407,   46,    0
100839,19790408,   82,    0
100839,19790409,  126,    0
100839,19790410,  124,    0
100839,19790411,  108,    0
100839,19790412,  107,    0
100839,19790413,  130,    0
100839,19790414,  126,    0
100839,19790415,  148,    0
100839,19790416,  130,    0
100839,19790417,   70,    0
100839,19790418,   73,    0
100839,19790419,   78,    0
100839,19790420,   94,    0
100839,19790421,   85,    0
100839,19790422,  107,    0
100839,19790423,  121,    0
100839,19790424,   94,    0
100839,19790425,   81,    0
100839,19790426,   72,    0
100839,19790427,   70,    0
100839,19790428,   60,    0
100839,19790429,   78,    0
100839,19790430,   86,    0
100839,19790501,   73,    0
100839,19790502,   54,    0
100839,19790503,   47,    0
100839,19790504,   52,    0
100839,19790505,   52,    0
100839,19790506,   84,    0
100839,19790507,   78,    0
100839,19790508,  118,    0
100839,19790509,  149,    0
100839,19790510,  129,    0
100839,19790511,  137,    0
100839,19790512,  150,    0
100839,19790513,  161,    0
100839,19790514,  192,    0
100839,19790515,  188,    0
100839,19790516,  190,    0
100839,19790517,  126,    0
100839,19790518,  110,    0
100839,19790519,  120,    0
100839,19790520,  120,    0
100839,19790521,  122,    0
100839,19790522,  112,    0
100839,19790523,  120,    0
100839,19790524,  116,    0
100839,19790525,  106,    0
100839,19790526,  148,    0
100839,19790527,  126,    0
100839,19790528,  154,    0
100839,19790529,  186,    0
100839,19790530,  218,    0
100839,19790531,  172,    0
100839,19790601,  166,    0
100839,19790602,  194,    0
100839,19790603,  200,    0
100839,19790604,  202,    0
100839,19790605,  172,    0
100839,19790606,  156,    0
100839,19790607,  125,    0
100839,19790608,  143,    0
100839,19790609,  180,    0
100839,19790610,  197,    0
100839,19790611,  174,    0
100839,19790612,  189,    0
100839,19790613,  152,    0
100839,19790614,  136,    0
100839,19790615,  132,    0
100839,19790616,  112,    0
100839,19790617,  139,    0
100839,19790618,  160,    0
100839,19790619,  180,    0
100839,19790620,  194,    0
100839,19790621,  195,    0
100839,19790622,  193,    0
100839,19790623,  186,    0
100839,19790624,  172,    0
100839,19790625,  162,    0
100839,19790626,  172,    0
100839,19790627,  172,    0
100839,19790628,  190,    0
100839,19790629,  180,    0
100839,19790630,  150,    0
100839,19790701,  149,    0
100839,19790702,  136,    0
100839,19790703,  150,    0
100839,19790704,  167,    0
100839,19790705,  191,    0
100839,19790706,  186,    0
100839,19790707,  188,    0
100839,19790708,  196,    0
100839,19790709,  194,    0
100839,19790710,  212,    0
100839,19790711,  212,    0
100839,19790712,  212,    0
100839,19790713,  195,    0
100839,19790714,  184,    0
100839,19790715,  189,    0
100839,19790716,  188,    0
100839,19790717,  196,    0
100839,19790718,  214,    0
100839,19790719,  197,    0
100839,19790720,  172,    0
100839,19790721,  156,    0
100839,19790722,  176,    0
100839,19790723,  148,    0
100839,19790724,  157,    0
100839,19790725,  186,    0
100839,19790726,  216,    0
100839,19790727,  230,    0
100839,19790728,  224,    0
100839,19790729,  228,    0
100839,19790730,  218,    0
100839,19790731,  207,    0
100839,19790801,  176,    0
100839,19790802,  190,    0
100839,19790803,  180,    0
100839,19790804,  183,    0
100839,19790805,  208,    0
100839,19790806,  208,    0
100839,19790807,  195,    0
100839,19790808,  184,    0
100839,19790809,  164,    0
100839,19790810,  164,    0
100839,19790811,  182,    0
100839,19790812,  201,    0
100839,19790813,  200,    0
100839,19790814,  214,    0
100839,19790815,  160,    0
100839,19790816,  172,    0
100839,19790817,  172,    0
100839,19790818,  144,    0
100839,19790819,  160,    0
100839,19790820,  172,    0
100839,19790821,  162,    0
100839,19790822,  176,    0
100839,19790823,  151,    0
100839,19790824,  160,    0
100839,19790825,  132,    0
100839,19790826,  140,    0
100839,19790827,  138,    0
100839,19790828,  151,    0
100839,19790829,  156,    0
100839,19790830,  206,    0
100839,19790831,  208,    0
100839,19790901,  222,    0
100839,19790902,  188,    0
100839,19790903,  166,    0
100839,19790904,  159,    0
100839,19790905,  170,    0
100839,19790906,  179,    0
100839,19790907,  204,    0
100839,19790908,  217,    0
100839,19790909,  193,    0
100839,19790910,  173,    0
100839,19790911,  174,    0
100839,19790912,  188,    0
100839,19790913,  204,    0
100839,19790914,  163,    0
100839,19790915,  133,    0
100839,19790916,  138,    0
100839,19790917,  162,    0
100839,19790918,  165,    0
100839,19790919,  182,    0
100839,19790920,  182,    0
100839,19790921,  109,    0
100839,19790922,  118,    0
100839,19790923,  108,    0
100839,19790924,  100,    0
100839,19790925,  123,    0
100839,19790926,  126,    0
100839,19790927,  144,    0
100839,19790928,  160,    0
100839,19790929,  128,    0
100839,19790930,  120,    0
100839,19791001,  140,    0
100839,19791002,  166,    0
100839,19791003,  180,    0
100839,19791004,  175,    0
100839,19791005,  140,    0
100839,19791006,  120,    0
100839,19791007,  170,    0
100839,19791008,  181,    0
100839,19791009,  183,    0
100839,19791010,  164,    0
100839,19791011,  144,    0
100839,19791012,  152,    0
100839,19791013,  138,    0
100839,19791014,  100,    0
100839,19791015,  136,    0
100839,19791016,  130,    0
100839,19791017,  124,    0
100839,19791018,  100,    0
100839,19791019,  100,    0
100839,19791020,  116,    0
100839,19791021,  113,    0
100839,19791022,  132,    0
100839,19791023,  132,    0
100839,19791024,  102,    0
100839,19791025,  124,    0
100839,19791026,   90,    0
100839,19791027,   80,    0
100839,19791028,   78,    0
100839,19791029,   80,    0
100839,19791030,   73,    0
100839,19791031,   97,    0
100839,19791101,  125,    0
100839,19791102,   94,    0
100839,19791103,   74,    0
100839,19791104,  108,    0
100839,19791105,  100,    0
100839,19791106,  114,    0
100839,19791107,  137,    0
100839,19791108,  134,    0
100839,19791109,   84,    0
100839,19791110,   48,    0
100839,19791111,   44,    0
100839,19791112,   65,    0
100839,19791113,   83,    0
100839,19791114,   78,    0
100839,19791115,   36,    0
100839,19791116,   42,    0
100839,19791117,   49,    0
100839,19791118,   49,    0
100839,19791119,   56,    0
100839,19791120,   34,    0
100839,19791121,   47,    0
100839,19791122,   34,    0
100839,19791123,   10,    0
100839,19791124,   -1,    0
100839,19791125,   44,    0
100839,19791126,   41,    0
100839,19791127,   92,    0
100839,19791128,   55,    0
100839,19791129,   69,    0
100839,19791130,   58,    0
100839,19791201,   84,    0
100839,19791202,  116,    0
100839,19791203,   99,    0
100839,19791204,   98,    0
100839,19791205,   86,    0
100839,19791206,  118,    0
100839,19791207,   82,    0
100839,19791208,   86,    0
100839,19791209,  103,    0
100839,19791210,  121,    0
100839,19791211,  100,    0
100839,19791212,   72,    0
100839,19791213,   85,    0
100839,19791214,   90,    0
100839,19791215,   70,    0
100839,19791216,   80,    0
100839,19791217,   88,    0
100839,19791218,   52,    0
100839,19791219,   20,    0
100839,19791220,   12,    0
100839,19791221,   11,    0
100839,19791222,  -17,    0
100839,19791223,   10,    0
100839,19791224,   14,    0
100839,19791225,   -8,    0
100839,19791226,   -9,    0
100839,19791227,   31,    0
100839,19791228,   53,    0
100839,19791229,   47,    0
100839,19791230,   37,    0
100839,19791231,   17,    0
100839,19800101,   14,    0
100839,19800102,   -4,    0
100839,19800103,  -12,    0
100839,19800104,   42,    0
100839,19800105,   59,    0
100839,19800106,   58,    0
100839,19800107,   56,    0
100839,19800108,   13,    0
100839,19800109,    9,    0
100839,19800110,   26,    0
100839,19800111,   -5,    0
100839,19800112,  -23,    0
100839,19800113,  -50,    0
100839,19800114,  -36,    0
100839,19800115,  -31,    0
100839,19800116,  -38,    0
100839,19800117,  -18,    0
100839,19800118,  -10,    0
100839,19800119,    8,    0
100839,19800120,   17,    0
100839,19800121,   50,    0
100839,19800122,   51,    0
100839,19800123,   64,    0
100839,19800124,   54,    0
100839,19800125,   16,    0
100839,19800126,   28,    0
100839,19800127,    5,    0
100839,19800128,    6,    0
100839,19800129,   34,    0
100839,19800130,   72,    0
100839,19800131,   96,    0
100839,19800201,   56,    0
100839,19800202,   71,    0
100839,19800203,   85,    0
100839,19800204,  111,    0
100839,19800205,  102,    0
100839,19800206,   97,    0
100839,19800207,   84,    0
100839,19800208,   78,    0
100839,19800209,  104,    0
100839,19800210,   87,    0
100839,19800211,   48,    0
100839,19800212,   38,    0
100839,19800213,   30,    0
100839,19800214,   74,    0
100839,19800215,   70,    0
100839,19800216,   62,    0
100839,19800217,   58,    0
100839,19800218,   38,    0
100839,19800219,   72,    0
100839,19800220,   73,    0
100839,19800221,   64,    0
100839,19800222,   81,    0
100839,19800223,   74,    0
100839,19800224,   40,    0
100839,19800225,   48,    0
100839,19800226,   84,    0
100839,19800227,   34,    0
100839,19800228,   17,    0
100839,19800229,   22,    0
100839,19800301,   50,    0
100839,19800302,   36,    0
100839,19800303,   58,    0
100839,19800304,   31,    0
100839,19800305,   44,    0
100839,19800306,   80,    0
100839,19800307,   75,    0
100839,19800308,   50,    0
100839,19800309,   69,    0
100839,19800310,   58,    0
100839,19800311,   62,    0
100839,19800312,   52,    0
100839,19800313,   48,    0
100839,19800314,   28,    0
100839,19800315,   36,    0
100839,19800316,   40,    0
100839,19800317,   54,    0
100839,19800318,   82,    0
100839,19800319,   83,    0
100839,19800320,   72,    0
100839,19800321,   45,    0
100839,19800322,   38,    0
100839,19800323,   47,    0
100839,19800324,   68,    0
100839,19800325,   77,    0
100839,19800326,   68,    0
100839,19800327,  136,    0
100839,19800328,  134,    0
100839,19800329,  106,    0
100839,19800330,   66,    0
100839,19800331,  118,    0
100839,19800401,  141,    0
100839,19800402,   98,    0
100839,19800403,   67,    0
100839,19800404,   40,    0
100839,19800405,   48,    0
100839,19800406,   56,    0
100839,19800407,   68,    0
100839,19800408,   73,    0
100839,19800409,   44,    0
100839,19800410,   66,    0
100839,19800411,   91,    0
100839,19800412,  112,    0
100839,19800413,  110,    0
100839,19800414,  135,    0
100839,19800415,  118,    0
100839,19800416,  122,    0
100839,19800417,  144,    0
100839,19800418,  105,    0
100839,19800419,  109,    0
100839,19800420,   66,    0
100839,19800421,   68,    0
100839,19800422,   48,    0
100839,19800423,   81,    0
100839,19800424,   56,    0
100839,19800425,   98,    0
100839,19800426,   96,    0
100839,19800427,   86,    0
100839,19800428,   84,    0
100839,19800429,  116,    0
100839,19800430,  114,    0
100839,19800501,  120,    0
