EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, RENNES-ST JACQUES (STAID: 322).
Blended and updated with sources: 106713 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
106713,19790101,  -15,    0
106713,19790102,  -32,    0
106713,19790103,  -25,    0
106713,19790104,  -10,    0
106713,19790105,  -15,    0
106713,19790106,  -25,    0
106713,19790107,  -40,    0
106713,19790108,  -16,    0
106713,19790109,   29,    0
106713,19790110,   47,    0
106713,19790111,   36,    0
106713,19790112,   34,    0
106713,19790113,    5,    0
106713,19790114,   11,    0
106713,19790115,   26,    0
106713,19790116,    9,    0
106713,19790117,  -16,    0
106713,19790118,   -5,    0
106713,19790119,   21,    0
106713,19790120,   66,    0
106713,19790121,    2,    0
106713,19790122,   48,    0
106713,19790123,   68,    0
106713,19790124,   31,    0
106713,19790125,   -6,    0
106713,19790126,   33,    0
106713,19790127,    8,    0
106713,19790128,    4,    0
106713,19790129,   44,    0
106713,19790130,   43,    0
106713,19790131,   35,    0
106713,19790201,   80,    0
106713,19790202,   80,    0
106713,19790203,   40,    0
106713,19790204,   52,    0
106713,19790205,   98,    0
106713,19790206,   81,    0
106713,19790207,  102,    0
106713,19790208,   64,    0
106713,19790209,   82,    0
106713,19790210,  115,    0
106713,19790211,   88,    0
106713,19790212,   92,    0
106713,19790213,   95,    0
106713,19790214,   57,    0
106713,19790215,   -2,    0
106713,19790216,  -27,    0
106713,19790217,   16,    0
106713,19790218,   19,    0
106713,19790219,   46,    0
106713,19790220,   26,    0
106713,19790221,   40,    0
106713,19790222,   25,    0
106713,19790223,   40,    0
106713,19790224,   37,    0
106713,19790225,   40,    0
106713,19790226,   34,    0
106713,19790227,   28,    0
106713,19790228,   51,    0
106713,19790301,   36,    0
106713,19790302,   82,    0
106713,19790303,  105,    0
106713,19790304,   86,    0
106713,19790305,   44,    0
106713,19790306,   46,    0
106713,19790307,   71,    0
106713,19790308,   50,    0
106713,19790309,   88,    0
106713,19790310,   78,    0
106713,19790311,  122,    0
106713,19790312,  122,    0
106713,19790313,  115,    0
106713,19790314,   75,    0
106713,19790315,   21,    0
106713,19790316,   36,    0
106713,19790317,   34,    0
106713,19790318,   46,    0
106713,19790319,   68,    0
106713,19790320,   58,    0
106713,19790321,   66,    0
106713,19790322,   64,    0
106713,19790323,   48,    0
106713,19790324,   94,    0
106713,19790325,  136,    0
106713,19790326,   90,    0
106713,19790327,   96,    0
106713,19790328,   49,    0
106713,19790329,   48,    0
106713,19790330,   58,    0
106713,19790331,   72,    0
106713,19790401,   77,    0
106713,19790402,   75,    0
106713,19790403,   52,    0
106713,19790404,   44,    0
106713,19790405,   36,    0
106713,19790406,   41,    0
106713,19790407,   48,    0
106713,19790408,   91,    0
106713,19790409,  112,    0
106713,19790410,  144,    0
106713,19790411,  110,    0
106713,19790412,  110,    0
106713,19790413,  143,    0
106713,19790414,  144,    0
106713,19790415,  121,    0
106713,19790416,  112,    0
106713,19790417,   64,    0
106713,19790418,   84,    0
106713,19790419,   77,    0
106713,19790420,  106,    0
106713,19790421,   80,    0
106713,19790422,  107,    0
106713,19790423,  121,    0
106713,19790424,   85,    0
106713,19790425,   76,    0
106713,19790426,   84,    0
106713,19790427,   76,    0
106713,19790428,   74,    0
106713,19790429,   92,    0
106713,19790430,  106,    0
106713,19790501,   70,    0
106713,19790502,   60,    0
106713,19790503,   56,    0
106713,19790504,   52,    0
106713,19790505,   53,    0
106713,19790506,   57,    0
106713,19790507,   70,    0
106713,19790508,  104,    0
106713,19790509,  112,    0
106713,19790510,  117,    0
106713,19790511,  148,    0
106713,19790512,  152,    0
106713,19790513,  170,    0
106713,19790514,  188,    0
106713,19790515,  188,    0
106713,19790516,  145,    0
106713,19790517,  116,    0
106713,19790518,  116,    0
106713,19790519,  134,    0
106713,19790520,  102,    0
106713,19790521,  124,    0
106713,19790522,  126,    0
106713,19790523,  122,    0
106713,19790524,   98,    0
106713,19790525,  110,    0
106713,19790526,  130,    0
106713,19790527,  126,    0
106713,19790528,  160,    0
106713,19790529,  160,    0
106713,19790530,  183,    0
106713,19790531,  145,    0
106713,19790601,  128,    0
106713,19790602,  170,    0
106713,19790603,  196,    0
106713,19790604,  144,    0
106713,19790605,  143,    0
106713,19790606,  136,    0
106713,19790607,  135,    0
106713,19790608,  138,    0
106713,19790609,  184,    0
106713,19790610,  180,    0
106713,19790611,  180,    0
106713,19790612,  153,    0
106713,19790613,  150,    0
106713,19790614,  144,    0
106713,19790615,  129,    0
106713,19790616,  134,    0
106713,19790617,  144,    0
106713,19790618,  165,    0
106713,19790619,  188,    0
106713,19790620,  200,    0
106713,19790621,  186,    0
106713,19790622,  164,    0
106713,19790623,  168,    0
106713,19790624,  144,    0
