EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BREST-GUIPAVAS (STAID: 434).
Blended and updated with sources: 104485 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104485,19790101,   -4,    0
104485,19790102,   -6,    0
104485,19790103,   -1,    0
104485,19790104,    2,    0
104485,19790105,   -2,    0
104485,19790106,   12,    0
104485,19790107,   11,    0
104485,19790108,   51,    0
104485,19790109,   51,    0
104485,19790110,   62,    0
104485,19790111,   54,    0
104485,19790112,   58,    0
104485,19790113,   42,    0
104485,19790114,   48,    0
104485,19790115,   76,    0
104485,19790116,   40,    0
104485,19790117,   20,    0
104485,19790118,   -2,    0
104485,19790119,   34,    0
104485,19790120,   62,    0
104485,19790121,   54,    0
104485,19790122,   68,    0
104485,19790123,   69,    0
104485,19790124,   40,    0
104485,19790125,   30,    0
104485,19790126,   49,    0
104485,19790127,   34,    0
104485,19790128,   35,    0
104485,19790129,   50,    0
104485,19790130,   54,    0
104485,19790131,   49,    0
104485,19790201,   89,    0
104485,19790202,   68,    0
104485,19790203,   42,    0
104485,19790204,   66,    0
104485,19790205,  100,    0
104485,19790206,  100,    0
104485,19790207,   95,    0
104485,19790208,   79,    0
104485,19790209,   95,    0
104485,19790210,  102,    0
104485,19790211,   80,    0
104485,19790212,   82,    0
104485,19790213,   90,    0
104485,19790214,   52,    0
104485,19790215,  -15,    0
104485,19790216,   -5,    0
104485,19790217,   26,    0
104485,19790218,   42,    0
104485,19790219,   81,    0
104485,19790220,   54,    0
104485,19790221,   42,    0
104485,19790222,   64,    0
104485,19790223,   54,    0
104485,19790224,   39,    0
104485,19790225,   32,    0
104485,19790226,   38,    0
104485,19790227,   48,    0
104485,19790228,   53,    0
104485,19790301,   54,    0
104485,19790302,   88,    0
104485,19790303,  100,    0
104485,19790304,   80,    0
104485,19790305,   59,    0
104485,19790306,   70,    0
104485,19790307,   69,    0
104485,19790308,   70,    0
104485,19790309,   96,    0
104485,19790310,   82,    0
104485,19790311,  106,    0
104485,19790312,  102,    0
104485,19790313,   92,    0
104485,19790314,   42,    0
104485,19790315,   28,    0
104485,19790316,   34,    0
104485,19790317,   41,    0
104485,19790318,   55,    0
104485,19790319,   70,    0
104485,19790320,   64,    0
104485,19790321,   65,    0
104485,19790322,   64,    0
104485,19790323,   64,    0
104485,19790324,   86,    0
104485,19790325,  107,    0
104485,19790326,   77,    0
104485,19790327,   80,    0
104485,19790328,   49,    0
104485,19790329,   48,    0
104485,19790330,   60,    0
104485,19790331,   70,    0
104485,19790401,   82,    0
104485,19790402,   75,    0
104485,19790403,   54,    0
104485,19790404,   52,    0
104485,19790405,   42,    0
104485,19790406,   56,    0
104485,19790407,   70,    0
104485,19790408,   80,    0
104485,19790409,  111,    0
104485,19790410,  135,    0
104485,19790411,   96,    0
104485,19790412,   93,    0
104485,19790413,  142,    0
104485,19790414,  125,    0
104485,19790415,  124,    0
104485,19790416,  118,    0
