EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, CAEN-CARPIQUET (STAID: 738).
Blended and updated with sources: 104045 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104045,19790101,  -48,    0
104045,19790102,  -14,    0
104045,19790103,  -55,    0
104045,19790104,  -27,    0
104045,19790105,  -44,    0
104045,19790106, -127,    0
104045,19790107,  -74,    0
104045,19790108,    5,    0
104045,19790109,   32,    0
104045,19790110,   32,    0
104045,19790111,   32,    0
104045,19790112,   24,    0
104045,19790113,   18,    0
104045,19790114,   -6,    0
104045,19790115,   28,    0
104045,19790116,   28,    0
104045,19790117,   -1,    0
104045,19790118,  -32,    0
104045,19790119,    3,    0
104045,19790120,   53,    0
104045,19790121,    4,    0
104045,19790122,   21,    0
104045,19790123,   33,    0
104045,19790124,   20,    0
104045,19790125,    5,    0
104045,19790126,   38,    0
104045,19790127,   26,    0
104045,19790128,  -11,    0
104045,19790129,   31,    0
104045,19790130,   30,    0
104045,19790131,   40,    0
104045,19790201,   70,    0
104045,19790202,   53,    0
104045,19790203,   16,    0
104045,19790204,   40,    0
104045,19790205,   44,    0
104045,19790206,   47,    0
104045,19790207,   83,    0
104045,19790208,   38,    0
104045,19790209,   56,    0
104045,19790210,   46,    0
104045,19790211,   59,    0
104045,19790212,   78,    0
104045,19790213,   92,    0
104045,19790214,   36,    0
104045,19790215,  -21,    0
104045,19790216,  -28,    0
104045,19790217,   13,    0
104045,19790218,    6,    0
104045,19790219,   27,    0
104045,19790220,   16,    0
104045,19790221,    4,    0
104045,19790222,   21,    0
104045,19790223,   40,    0
104045,19790224,   40,    0
104045,19790225,   30,    0
104045,19790226,   14,    0
104045,19790227,   35,    0
104045,19790228,   48,    0
104045,19790301,   44,    0
104045,19790302,   65,    0
104045,19790303,  108,    0
104045,19790304,   78,    0
104045,19790305,   45,    0
104045,19790306,   38,    0
104045,19790307,   55,    0
104045,19790308,   65,    0
104045,19790309,   86,    0
104045,19790310,   64,    0
104045,19790311,  109,    0
104045,19790312,   92,    0
104045,19790313,   98,    0
104045,19790314,   68,    0
104045,19790315,   36,    0
104045,19790316,   26,    0
104045,19790317,   38,    0
104045,19790318,   50,    0
104045,19790319,   60,    0
104045,19790320,   60,    0
104045,19790321,   60,    0
104045,19790322,   43,    0
104045,19790323,   43,    0
104045,19790324,   80,    0
104045,19790325,  136,    0
104045,19790326,   68,    0
104045,19790327,   88,    0
104045,19790328,   48,    0
104045,19790329,   44,    0
104045,19790330,   48,    0
104045,19790331,   61,    0
104045,19790401,   82,    0
104045,19790402,   73,    0
104045,19790403,   42,    0
104045,19790404,   38,    0
104045,19790405,   37,    0
104045,19790406,   40,    0
104045,19790407,   46,    0
104045,19790408,   92,    0
104045,19790409,  108,    0
104045,19790410,  128,    0
104045,19790411,  124,    0
104045,19790412,  111,    0
104045,19790413,  143,    0
104045,19790414,  142,    0
104045,19790415,  132,    0
104045,19790416,   89,    0
104045,19790417,   65,    0
104045,19790418,   61,    0
104045,19790419,   76,    0
104045,19790420,   96,    0
104045,19790421,   86,    0
104045,19790422,  106,    0
104045,19790423,  115,    0
104045,19790424,   92,    0
104045,19790425,   81,    0
104045,19790426,   76,    0
104045,19790427,   77,    0
104045,19790428,   85,    0
104045,19790429,   84,    0
104045,19790430,   95,    0
104045,19790501,   75,    0
104045,19790502,   40,    0
104045,19790503,   46,    0
104045,19790504,   42,    0
104045,19790505,   50,    0
104045,19790506,   54,    0
104045,19790507,   70,    0
104045,19790508,   84,    0
104045,19790509,   98,    0
104045,19790510,  115,    0
104045,19790511,  146,    0
104045,19790512,  131,    0
104045,19790513,  154,    0
104045,19790514,  162,    0
104045,19790515,  178,    0
104045,19790516,  176,    0
104045,19790517,  125,    0
104045,19790518,  108,    0
104045,19790519,   96,    0
104045,19790520,  112,    0
104045,19790521,  112,    0
104045,19790522,  124,    0
104045,19790523,  118,    0
104045,19790524,   92,    0
104045,19790525,  114,    0
104045,19790526,  125,    0
104045,19790527,  128,    0
104045,19790528,  142,    0
104045,19790529,  170,    0
104045,19790530,  199,    0
104045,19790531,  126,    0
104045,19790601,  110,    0
104045,19790602,  136,    0
104045,19790603,  145,    0
104045,19790604,  148,    0
104045,19790605,  146,    0
104045,19790606,  135,    0
104045,19790607,  121,    0
104045,19790608,  126,    0
104045,19790609,  163,    0
104045,19790610,  150,    0
104045,19790611,  135,    0
104045,19790612,  152,    0
104045,19790613,  147,    0
104045,19790614,  125,    0
104045,19790615,  131,    0
104045,19790616,  127,    0
104045,19790617,  136,    0
104045,19790618,  144,    0
104045,19790619,  150,    0
104045,19790620,  188,    0
104045,19790621,  177,    0
104045,19790622,  148,    0
104045,19790623,  138,    0
104045,19790624,  138,    0
104045,19790625,  134,    0
104045,19790626,  154,    0
104045,19790627,  158,    0
104045,19790628,  142,    0
104045,19790629,  170,    0
104045,19790630,  134,    0
104045,19790701,  134,    0
104045,19790702,  134,    0
104045,19790703,  142,    0
104045,19790704,  152,    0
104045,19790705,  165,    0
104045,19790706,  158,    0
104045,19790707,  174,    0
104045,19790708,  174,    0
104045,19790709,  177,    0
104045,19790710,  158,    0
104045,19790711,  185,    0
104045,19790712,  172,    0
104045,19790713,  180,    0
104045,19790714,  172,    0
104045,19790715,  156,    0
104045,19790716,  182,    0
104045,19790717,  178,    0
104045,19790718,  187,    0
104045,19790719,  150,    0
104045,19790720,  161,    0
104045,19790721,  157,    0
104045,19790722,  150,    0
104045,19790723,  142,    0
104045,19790724,  184,    0
104045,19790725,  182,    0
104045,19790726,  187,    0
104045,19790727,  222,    0
104045,19790728,  214,    0
104045,19790729,  190,    0
104045,19790730,  192,    0
104045,19790731,  173,    0
104045,19790801,  175,    0
104045,19790802,  176,    0
104045,19790803,  172,    0
104045,19790804,  156,    0
104045,19790805,  160,    0
104045,19790806,  182,    0
104045,19790807,  199,    0
104045,19790808,  166,    0
104045,19790809,  161,    0
104045,19790810,  157,    0
104045,19790811,  170,    0
104045,19790812,  188,    0
104045,19790813,  193,    0
104045,19790814,  193,    0
104045,19790815,  154,    0
104045,19790816,  149,    0
104045,19790817,  161,    0
104045,19790818,  149,    0
104045,19790819,  152,    0
104045,19790820,  166,    0
104045,19790821,  154,    0
104045,19790822,  127,    0
104045,19790823,  137,    0
104045,19790824,  141,    0
104045,19790825,  144,    0
104045,19790826,  144,    0
104045,19790827,  140,    0
104045,19790828,  125,    0
104045,19790829,  149,    0
104045,19790830,  182,    0
104045,19790831,  191,    0
104045,19790901,  176,    0
104045,19790902,  180,    0
104045,19790903,  159,    0
104045,19790904,  168,    0
104045,19790905,  168,    0
104045,19790906,  168,    0
104045,19790907,  180,    0
104045,19790908,  186,    0
104045,19790909,  166,    0
104045,19790910,  166,    0
104045,19790911,  157,    0
104045,19790912,  151,    0
104045,19790913,  148,    0
104045,19790914,  129,    0
104045,19790915,  124,    0
104045,19790916,  134,    0
104045,19790917,  148,    0
104045,19790918,  166,    0
104045,19790919,  192,    0
104045,19790920,  154,    0
104045,19790921,  122,    0
104045,19790922,  110,    0
104045,19790923,   96,    0
104045,19790924,  138,    0
104045,19790925,  123,    0
104045,19790926,  158,    0
104045,19790927,  145,    0
104045,19790928,  136,    0
104045,19790929,  132,    0
104045,19790930,  160,    0
104045,19791001,  136,    0
104045,19791002,  144,    0
104045,19791003,  168,    0
104045,19791004,  134,    0
104045,19791005,  131,    0
104045,19791006,  118,    0
104045,19791007,  157,    0
104045,19791008,  163,    0
104045,19791009,  193,    0
104045,19791010,  155,    0
104045,19791011,  132,    0
104045,19791012,  135,    0
104045,19791013,  136,    0
104045,19791014,  131,    0
104045,19791015,  122,    0
104045,19791016,  100,    0
104045,19791017,  106,    0
104045,19791018,  130,    0
104045,19791019,  129,    0
104045,19791020,   97,    0
104045,19791021,  118,    0
104045,19791022,  101,    0
104045,19791023,   90,    0
104045,19791024,  115,    0
104045,19791025,  109,    0
104045,19791026,   78,    0
104045,19791027,   86,    0
104045,19791028,  102,    0
104045,19791029,   92,    0
104045,19791030,   98,    0
104045,19791031,  122,    0
104045,19791101,  114,    0
104045,19791102,  105,    0
104045,19791103,   95,    0
104045,19791104,  146,    0
104045,19791105,  113,    0
104045,19791106,  120,    0
104045,19791107,  136,    0
104045,19791108,   82,    0
104045,19791109,   80,    0
104045,19791110,   68,    0
104045,19791111,   76,    0
104045,19791112,   96,    0
104045,19791113,   57,    0
104045,19791114,   62,    0
104045,19791115,   50,    0
104045,19791116,   60,    0
104045,19791117,   52,    0
104045,19791118,   84,    0
104045,19791119,   89,    0
104045,19791120,   72,    0
104045,19791121,   66,    0
104045,19791122,   68,    0
104045,19791123,   70,    0
104045,19791124,   74,    0
104045,19791125,   51,    0
104045,19791126,  106,    0
104045,19791127,  115,    0
104045,19791128,   84,    0
104045,19791129,   70,    0
104045,19791130,   86,    0
104045,19791201,  116,    0
104045,19791202,  112,    0
104045,19791203,  123,    0
104045,19791204,  110,    0
104045,19791205,  124,    0
104045,19791206,  135,    0
104045,19791207,  100,    0
104045,19791208,  110,    0
104045,19791209,  107,    0
104045,19791210,  124,    0
104045,19791211,   92,    0
104045,19791212,   83,    0
104045,19791213,  108,    0
104045,19791214,   96,    0
104045,19791215,   74,    0
104045,19791216,   88,    0
104045,19791217,   80,    0
104045,19791218,   62,    0
104045,19791219,   46,    0
104045,19791220,   36,    0
104045,19791221,   30,    0
104045,19791222,   10,    0
104045,19791223,   34,    0
104045,19791224,   38,    0
104045,19791225,   17,    0
104045,19791226,    4,    0
104045,19791227,   40,    0
104045,19791228,   56,    0
104045,19791229,   54,    0
104045,19791230,   38,    0
104045,19791231,   40,    0
104045,19800101,   12,    0
104045,19800102,   20,    0
104045,19800103,   42,    0
104045,19800104,   85,    0
104045,19800105,   68,    0
104045,19800106,   70,    0
104045,19800107,   56,    0
104045,19800108,   -2,    0
104045,19800109,   20,    0
104045,19800110,   26,    0
104045,19800111,    1,    0
104045,19800112,    3,    0
104045,19800113,  -42,    0
104045,19800114,  -28,    0
104045,19800115,  -10,    0
104045,19800116,  -12,    0
104045,19800117,  -26,    0
104045,19800118,  -26,    0
104045,19800119,   14,    0
104045,19800120,   32,    0
104045,19800121,   49,    0
104045,19800122,   61,    0
104045,19800123,   48,    0
104045,19800124,   55,    0
104045,19800125,   41,    0
104045,19800126,   18,    0
104045,19800127,   -1,    0
104045,19800128,   18,    0
104045,19800129,   30,    0
104045,19800130,   88,    0
104045,19800131,   90,    0
104045,19800201,   61,    0
104045,19800202,   84,    0
104045,19800203,   88,    0
104045,19800204,  105,    0
104045,19800205,   98,    0
104045,19800206,   90,    0
104045,19800207,   82,    0
104045,19800208,  110,    0
104045,19800209,  102,    0
104045,19800210,   89,    0
104045,19800211,   80,    0
104045,19800212,   61,    0
104045,19800213,   59,    0
104045,19800214,   74,    0
104045,19800215,   74,    0
104045,19800216,   58,    0
104045,19800217,  101,    0
104045,19800218,   60,    0
104045,19800219,   78,    0
104045,19800220,   74,    0
104045,19800221,   84,    0
104045,19800222,   89,    0
104045,19800223,   48,    0
104045,19800224,   38,    0
104045,19800225,   46,    0
104045,19800226,   26,    0
104045,19800227,   54,    0
104045,19800228,   36,    0
104045,19800229,   54,    0
104045,19800301,   46,    0
104045,19800302,   64,    0
104045,19800303,   37,    0
104045,19800304,   28,    0
104045,19800305,   32,    0
104045,19800306,   83,    0
104045,19800307,   65,    0
104045,19800308,   59,    0
104045,19800309,   65,    0
104045,19800310,   62,    0
104045,19800311,   60,    0
104045,19800312,   85,    0
104045,19800313,   58,    0
104045,19800314,   46,    0
104045,19800315,   52,    0
104045,19800316,   52,    0
104045,19800317,   48,    0
104045,19800318,   49,    0
104045,19800319,   66,    0
104045,19800320,   16,    0
