EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, ALENCON (STAID: 740).
Blended and updated with sources: 104053 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104053,19790101,  -44,    0
104053,19790102,  -20,    0
104053,19790103,  -34,    0
104053,19790104,  -20,    0
104053,19790105,  -35,    0
104053,19790106,  -66,    0
104053,19790107,  -80,    0
104053,19790108,  -39,    0
104053,19790109,    4,    0
104053,19790110,   18,    0
104053,19790111,   28,    0
104053,19790112,   20,    0
104053,19790113,  -16,    0
104053,19790114,  -36,    0
104053,19790115,   26,    0
104053,19790116,    0,    0
104053,19790117,  -18,    0
104053,19790118,  -28,    0
104053,19790119,    5,    0
104053,19790120,   46,    0
104053,19790121,   14,    0
104053,19790122,   20,    0
104053,19790123,   49,    0
104053,19790124,   16,    0
104053,19790125,   -9,    0
104053,19790126,   18,    0
104053,19790127,   -6,    0
104053,19790128,   -8,    0
104053,19790129,   31,    0
104053,19790130,   32,    0
104053,19790131,   31,    0
104053,19790201,   58,    0
104053,19790202,   70,    0
104053,19790203,   12,    0
104053,19790204,   18,    0
104053,19790205,   46,    0
104053,19790206,   55,    0
104053,19790207,   85,    0
104053,19790208,   50,    0
104053,19790209,   52,    0
104053,19790210,   60,    0
104053,19790211,   72,    0
104053,19790212,   87,    0
104053,19790213,   82,    0
104053,19790214,   37,    0
104053,19790215,  -20,    0
104053,19790216,  -45,    0
104053,19790217,    2,    0
104053,19790218,    6,    0
104053,19790219,   19,    0
104053,19790220,   13,    0
104053,19790221,   28,    0
104053,19790222,   14,    0
104053,19790223,   44,    0
104053,19790224,   32,    0
104053,19790225,   35,    0
104053,19790226,   28,    0
104053,19790227,   19,    0
104053,19790228,   36,    0
104053,19790301,   28,    0
104053,19790302,   53,    0
104053,19790303,   96,    0
104053,19790304,   75,    0
104053,19790305,   38,    0
104053,19790306,   29,    0
104053,19790307,   64,    0
104053,19790308,   44,    0
104053,19790309,   80,    0
104053,19790310,   67,    0
104053,19790311,  114,    0
104053,19790312,  106,    0
104053,19790313,  102,    0
104053,19790314,   76,    0
104053,19790315,   45,    0
104053,19790316,   25,    0
104053,19790317,   35,    0
104053,19790318,   66,    0
104053,19790319,   64,    0
104053,19790320,   62,    0
104053,19790321,   60,    0
104053,19790322,   46,    0
104053,19790323,   44,    0
104053,19790324,   82,    0
104053,19790325,  128,    0
104053,19790326,   83,    0
104053,19790327,   89,    0
104053,19790328,   53,    0
104053,19790329,   45,    0
104053,19790330,   42,    0
104053,19790331,   68,    0
104053,19790401,   84,    0
104053,19790402,   66,    0
104053,19790403,   34,    0
104053,19790404,   46,    0
104053,19790405,   35,    0
104053,19790406,   36,    0
104053,19790407,   44,    0
104053,19790408,   84,    0
104053,19790409,   96,    0
104053,19790410,  116,    0
104053,19790411,  111,    0
104053,19790412,  106,    0
104053,19790413,  124,    0
104053,19790414,  124,    0
104053,19790415,  140,    0
104053,19790416,  114,    0
104053,19790417,   64,    0
104053,19790418,   68,    0
104053,19790419,   76,    0
104053,19790420,   99,    0
104053,19790421,   80,    0
104053,19790422,  104,    0
104053,19790423,  118,    0
104053,19790424,   82,    0
104053,19790425,   76,    0
104053,19790426,   70,    0
104053,19790427,   80,    0
104053,19790428,   70,    0
104053,19790429,   89,    0
104053,19790430,   98,    0
104053,19790501,   62,    0
104053,19790502,   46,    0
104053,19790503,   50,    0
104053,19790504,   50,    0
104053,19790505,   48,    0
104053,19790506,   60,    0
104053,19790507,   64,    0
104053,19790508,   99,    0
104053,19790509,  121,    0
104053,19790510,  109,    0
104053,19790511,  158,    0
104053,19790512,  152,    0
104053,19790513,  161,    0
104053,19790514,  179,    0
104053,19790515,  186,    0
104053,19790516,  162,    0
104053,19790517,  122,    0
104053,19790518,  104,    0
104053,19790519,  123,    0
104053,19790520,  125,    0
104053,19790521,  105,    0
104053,19790522,  118,    0
104053,19790523,  108,    0
104053,19790524,   88,    0
104053,19790525,  115,    0
104053,19790526,  132,    0
104053,19790527,  124,    0
104053,19790528,  142,    0
104053,19790529,  180,    0
104053,19790530,  203,    0
104053,19790531,  126,    0
104053,19790601,  120,    0
104053,19790602,  180,    0
104053,19790603,  182,    0
104053,19790604,  178,    0
104053,19790605,  157,    0
104053,19790606,  127,    0
104053,19790607,  132,    0
104053,19790608,  118,    0
104053,19790609,  163,    0
104053,19790610,  164,    0
104053,19790611,  178,    0
104053,19790612,  163,    0
104053,19790613,  154,    0
104053,19790614,  132,    0
104053,19790615,  124,    0
104053,19790616,  130,    0
104053,19790617,  131,    0
104053,19790618,  161,    0
104053,19790619,  176,    0
104053,19790620,  188,    0
104053,19790621,  192,    0
104053,19790622,  162,    0
104053,19790623,  175,    0
104053,19790624,  146,    0
104053,19790625,  140,    0
104053,19790626,  165,    0
104053,19790627,  162,    0
104053,19790628,  172,    0
104053,19790629,  165,    0
104053,19790630,  136,    0
104053,19790701,  126,    0
104053,19790702,  130,    0
104053,19790703,  150,    0
104053,19790704,  160,    0
104053,19790705,  166,    0
104053,19790706,  175,    0
104053,19790707,  170,    0
104053,19790708,  176,    0
104053,19790709,  178,    0
104053,19790710,  161,    0
104053,19790711,  192,    0
104053,19790712,  175,    0
104053,19790713,  190,    0
104053,19790714,  179,    0
104053,19790715,  162,    0
104053,19790716,  192,    0
104053,19790717,  186,    0
104053,19790718,  192,    0
104053,19790719,  187,    0
104053,19790720,  156,    0
104053,19790721,  152,    0
104053,19790722,  166,    0
104053,19790723,  128,    0
104053,19790724,  171,    0
104053,19790725,  181,    0
104053,19790726,  194,    0
104053,19790727,  226,    0
104053,19790728,  214,    0
104053,19790729,  194,    0
104053,19790730,  198,    0
104053,19790731,  178,    0
104053,19790801,  170,    0
104053,19790802,  184,    0
104053,19790803,  173,    0
104053,19790804,  166,    0
104053,19790805,  179,    0
104053,19790806,  183,    0
104053,19790807,  198,    0
104053,19790808,  172,    0
104053,19790809,  161,    0
104053,19790810,  150,    0
104053,19790811,  194,    0
104053,19790812,  188,    0
104053,19790813,  200,    0
104053,19790814,  178,    0
104053,19790815,  152,    0
104053,19790816,  138,    0
104053,19790817,  164,    0
104053,19790818,  158,    0
104053,19790819,  157,    0
104053,19790820,  159,    0
104053,19790821,  144,    0
104053,19790822,  136,    0
104053,19790823,  153,    0
104053,19790824,  147,    0
104053,19790825,  130,    0
104053,19790826,  158,    0
104053,19790827,  122,    0
104053,19790828,  128,    0
104053,19790829,  149,    0
104053,19790830,  174,    0
104053,19790831,  181,    0
104053,19790901,  194,    0
104053,19790902,  186,    0
104053,19790903,  156,    0
104053,19790904,  162,    0
104053,19790905,  171,    0
104053,19790906,  154,    0
104053,19790907,  180,    0
104053,19790908,  191,    0
104053,19790909,  180,    0
104053,19790910,  167,    0
104053,19790911,  160,    0
104053,19790912,  178,    0
104053,19790913,  156,    0
104053,19790914,  170,    0
104053,19790915,  109,    0
104053,19790916,  136,    0
104053,19790917,  136,    0
104053,19790918,  153,    0
104053,19790919,  168,    0
104053,19790920,  139,    0
104053,19790921,  108,    0
104053,19790922,  110,    0
104053,19790923,   84,    0
104053,19790924,  138,    0
104053,19790925,  110,    0
104053,19790926,  150,    0
104053,19790927,  134,    0
104053,19790928,  151,    0
104053,19790929,  130,    0
104053,19790930,  140,    0
104053,19791001,  147,    0
104053,19791002,  162,    0
104053,19791003,  162,    0
104053,19791004,  130,    0
104053,19791005,  137,    0
104053,19791006,  112,    0
104053,19791007,  168,    0
104053,19791008,  172,    0
104053,19791009,  188,    0
104053,19791010,  150,    0
104053,19791011,  140,    0
104053,19791012,  125,    0
104053,19791013,  144,    0
104053,19791014,  142,    0
104053,19791015,  111,    0
104053,19791016,  126,    0
104053,19791017,  111,    0
104053,19791018,  120,    0
104053,19791019,  118,    0
104053,19791020,  112,    0
104053,19791021,  111,    0
