EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, POITIERS - BIARD (STAID: 749).
Blended and updated with sources: 104089 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104089,19790101,  -34,    0
104089,19790102,  -34,    0
104089,19790103,  -25,    0
104089,19790104,   31,    0
104089,19790105,   63,    0
104089,19790106,   -2,    0
104089,19790107,  -20,    0
104089,19790108,   -8,    0
104089,19790109,   15,    0
104089,19790110,   42,    0
104089,19790111,   44,    0
104089,19790112,   38,    0
104089,19790113,    7,    0
104089,19790114,    1,    0
104089,19790115,   18,    0
104089,19790116,  -10,    0
104089,19790117,  -32,    0
104089,19790118,   11,    0
104089,19790119,   58,    0
104089,19790120,   74,    0
104089,19790121,   40,    0
104089,19790122,   51,    0
104089,19790123,   82,    0
104089,19790124,   20,    0
104089,19790125,    2,    0
104089,19790126,    6,    0
104089,19790127,   24,    0
104089,19790128,   10,    0
104089,19790129,   39,    0
104089,19790130,   46,    0
104089,19790131,   26,    0
104089,19790201,   64,    0
104089,19790202,   94,    0
104089,19790203,   40,    0
104089,19790204,   76,    0
104089,19790205,  108,    0
104089,19790206,  105,    0
104089,19790207,  110,    0
104089,19790208,  101,    0
104089,19790209,  107,    0
104089,19790210,  120,    0
104089,19790211,  112,    0
104089,19790212,  104,    0
104089,19790213,   94,    0
104089,19790214,   90,    0
104089,19790215,   -7,    0
104089,19790216,  -32,    0
104089,19790217,   -2,    0
104089,19790218,    4,    0
104089,19790219,   14,    0
104089,19790220,   11,    0
104089,19790221,   32,    0
104089,19790222,   16,    0
104089,19790223,   23,    0
104089,19790224,   36,    0
104089,19790225,   26,    0
104089,19790226,   22,    0
104089,19790227,   26,    0
104089,19790228,   29,    0
104089,19790301,   36,    0
104089,19790302,   40,    0
104089,19790303,   94,    0
104089,19790304,  100,    0
104089,19790305,   66,    0
104089,19790306,   40,    0
104089,19790307,   74,    0
104089,19790308,   56,    0
104089,19790309,   63,    0
104089,19790310,   88,    0
104089,19790311,  110,    0
104089,19790312,  120,    0
104089,19790313,  102,    0
104089,19790314,   77,    0
