EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, EMBRUN (STAID: 755).
Blended and updated with sources: 104113 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104113,19790101,  -11,    0
104113,19790102,  -58,    0
104113,19790103,  -55,    0
104113,19790104,  -24,    0
104113,19790105,  -16,    0
104113,19790106,   -4,    0
104113,19790107,    7,    0
104113,19790108,    7,    0
104113,19790109,   10,    0
104113,19790110,    2,    0
104113,19790111,   -9,    0
104113,19790112,  -44,    0
104113,19790113,  -64,    0
104113,19790114,  -80,    0
104113,19790115,  -78,    0
104113,19790116,  -73,    0
104113,19790117,  -60,    0
104113,19790118,  -30,    0
104113,19790119,  -17,    0
104113,19790120,    8,    0
104113,19790121,   23,    0
104113,19790122,   46,    0
104113,19790123,   51,    0
104113,19790124,   46,    0
104113,19790125,    8,    0
104113,19790126,   -1,    0
104113,19790127,   35,    0
104113,19790128,   46,    0
104113,19790129,   34,    0
104113,19790130,   18,    0
104113,19790131,   -2,    0
104113,19790201,   -4,    0
104113,19790202,   19,    0
104113,19790203,   64,    0
104113,19790204,   40,    0
104113,19790205,   43,    0
104113,19790206,   60,    0
104113,19790207,   28,    0
104113,19790208,   52,    0
104113,19790209,   61,    0
104113,19790210,   70,    0
104113,19790211,   42,    0
104113,19790212,   64,    0
104113,19790213,   57,    0
104113,19790214,   56,    0
104113,19790215,   42,    0
104113,19790216,   40,    0
104113,19790217,   21,    0
104113,19790218,   21,    0
104113,19790219,    8,    0
104113,19790220,   34,    0
104113,19790221,   54,    0
104113,19790222,   32,    0
104113,19790223,   20,    0
104113,19790224,   40,    0
104113,19790225,   41,    0
104113,19790226,   -1,    0
104113,19790227,    4,    0
104113,19790228,   19,    0
104113,19790301,   18,    0
104113,19790302,   32,    0
104113,19790303,   50,    0
104113,19790304,   64,    0
104113,19790305,   64,    0
104113,19790306,   60,    0
104113,19790307,   38,    0
104113,19790308,   42,    0
104113,19790309,   56,    0
104113,19790310,   68,    0
104113,19790311,   85,    0
104113,19790312,  102,    0
104113,19790313,  100,    0
104113,19790314,   99,    0
104113,19790315,   58,    0
104113,19790316,   26,    0
104113,19790317,   21,    0
104113,19790318,   31,    0
104113,19790319,   51,    0
104113,19790320,   36,    0
104113,19790321,   48,    0
104113,19790322,   52,    0
104113,19790323,   69,    0
104113,19790324,   74,    0
104113,19790325,   54,    0
104113,19790326,   71,    0
104113,19790327,   70,    0
104113,19790328,   29,    0
104113,19790329,   30,    0
104113,19790330,   31,    0
104113,19790331,   38,    0
104113,19790401,   44,    0
104113,19790402,   58,    0
104113,19790403,   63,    0
104113,19790404,   25,    0
104113,19790405,   42,    0
104113,19790406,   22,    0
104113,19790407,   28,    0
104113,19790408,   76,    0
104113,19790409,   93,    0
104113,19790410,  102,    0
104113,19790411,   56,    0
104113,19790412,   76,    0
104113,19790413,   97,    0
104113,19790414,  109,    0
104113,19790415,  121,    0
104113,19790416,  129,    0
104113,19790417,   82,    0
104113,19790418,   62,    0
104113,19790419,   78,    0
104113,19790420,   66,    0
104113,19790421,   68,    0
104113,19790422,   81,    0
104113,19790423,   76,    0
104113,19790424,   82,    0
104113,19790425,   52,    0
104113,19790426,   64,    0
104113,19790427,   64,    0
104113,19790428,   63,    0
104113,19790429,   71,    0
104113,19790430,   89,    0
104113,19790501,  108,    0
104113,19790502,   79,    0
104113,19790503,   37,    0
104113,19790504,   44,    0
104113,19790505,   48,    0
104113,19790506,   78,    0
104113,19790507,   90,    0
104113,19790508,  105,    0
104113,19790509,  104,    0
104113,19790510,  122,    0
104113,19790511,  140,    0
104113,19790512,  156,    0
104113,19790513,  179,    0
104113,19790514,  168,    0
104113,19790515,  162,    0
104113,19790516,  144,    0
104113,19790517,  122,    0
104113,19790518,  160,    0
104113,19790519,  186,    0
104113,19790520,  101,    0
104113,19790521,  101,    0
104113,19790522,  144,    0
104113,19790523,  162,    0
104113,19790524,  145,    0
104113,19790525,  118,    0
104113,19790526,  156,    0
104113,19790527,  121,    0
104113,19790528,  162,    0
104113,19790529,  186,    0
104113,19790530,  186,    0
104113,19790531,  212,    0
104113,19790601,  200,    0
104113,19790602,  189,    0
104113,19790603,  198,    0
104113,19790604,  192,    0
