EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PTE DE LA HAGUE (STAID: 793).
Blended and updated with sources: 106768 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
106768,19790101,   18,    0
106768,19790102,   29,    0
106768,19790103,    5,    0
106768,19790104,   22,    0
106768,19790105,   19,    0
106768,19790106,   14,    0
106768,19790107,   25,    0
106768,19790108,   61,    0
106768,19790109,   59,    0
106768,19790110,   73,    0
106768,19790111,   60,    0
106768,19790112,   60,    0
106768,19790113,   40,    0
106768,19790114,   30,    0
106768,19790115,   56,    0
106768,19790116,   55,    0
106768,19790117,   22,    0
106768,19790118,   16,    0
106768,19790119,   37,    0
106768,19790120,   67,    0
106768,19790121,   60,    0
106768,19790122,   51,    0
106768,19790123,   36,    0
106768,19790124,   40,    0
106768,19790125,   46,    0
106768,19790126,   52,    0
106768,19790127,   33,    0
106768,19790128,   36,    0
106768,19790129,   50,    0
106768,19790130,   54,    0
106768,19790131,   66,    0
106768,19790201,   73,    0
106768,19790202,   52,    0
106768,19790203,   43,    0
106768,19790204,   43,    0
106768,19790205,   55,    0
106768,19790206,   62,    0
106768,19790207,   78,    0
106768,19790208,   48,    0
106768,19790209,   47,    0
106768,19790210,   52,    0
106768,19790211,   53,    0
106768,19790212,   71,    0
106768,19790213,   85,    0
106768,19790214,   32,    0
106768,19790215,    0,    0
106768,19790216,    6,    0
106768,19790217,   19,    0
106768,19790218,   25,    0
106768,19790219,   50,    0
106768,19790220,   33,    0
106768,19790221,   18,    0
106768,19790222,   46,    0
106768,19790223,   66,    0
106768,19790224,   60,    0
106768,19790225,   45,    0
106768,19790226,   33,    0
106768,19790227,   41,    0
106768,19790228,   58,    0
106768,19790301,   62,    0
106768,19790302,   79,    0
106768,19790303,   89,    0
106768,19790304,   71,    0
106768,19790305,   60,    0
106768,19790306,   63,    0
106768,19790307,   69,    0
106768,19790308,   79,    0
106768,19790309,   90,    0
106768,19790310,   76,    0
106768,19790311,   86,    0
106768,19790312,   93,    0
106768,19790313,   85,    0
106768,19790314,   52,    0
106768,19790315,   16,    0
106768,19790316,   39,    0
106768,19790317,   54,    0
106768,19790318,   62,    0
106768,19790319,   73,    0
106768,19790320,   82,    0
106768,19790321,   65,    0
106768,19790322,   68,    0
106768,19790323,   54,    0
106768,19790324,   76,    0
106768,19790325,  104,    0
106768,19790326,   70,    0
106768,19790327,   75,    0
106768,19790328,   56,    0
106768,19790329,   64,    0
106768,19790330,   66,    0
106768,19790331,   77,    0
106768,19790401,   87,    0
106768,19790402,   71,    0
106768,19790403,   44,    0
106768,19790404,   49,    0
106768,19790405,   44,    0
106768,19790406,   47,    0
106768,19790407,   58,    0
106768,19790408,   76,    0
106768,19790409,   99,    0
106768,19790410,  127,    0
106768,19790411,  122,    0
106768,19790412,  103,    0
106768,19790413,  128,    0
106768,19790414,  118,    0
106768,19790415,  107,    0
106768,19790416,   94,    0
106768,19790417,   77,    0
106768,19790418,   72,    0
106768,19790419,   76,    0
106768,19790420,   98,    0
106768,19790421,   88,    0
106768,19790422,  104,    0
106768,19790423,   98,    0
106768,19790424,   87,    0
106768,19790425,   95,    0
106768,19790426,   90,    0
106768,19790427,   90,    0
106768,19790428,   93,    0
106768,19790429,   90,    0
106768,19790430,   95,    0
106768,19790501,   84,    0
106768,19790502,   64,    0
106768,19790503,   51,    0
106768,19790504,   58,    0
106768,19790505,   79,    0
106768,19790506,   74,    0
106768,19790507,   94,    0
106768,19790508,   81,    0
106768,19790509,   89,    0
106768,19790510,   91,    0
106768,19790511,  115,    0
106768,19790512,  120,    0
106768,19790513,   97,    0
106768,19790514,  129,    0
106768,19790515,  144,    0
106768,19790516,  112,    0
106768,19790517,  106,    0
106768,19790518,  117,    0
106768,19790519,   98,    0
106768,19790520,  104,    0
106768,19790521,  108,    0
106768,19790522,  116,    0
106768,19790523,  118,    0
106768,19790524,  114,    0
106768,19790525,  112,    0
106768,19790526,  113,    0
106768,19790527,  107,    0
