EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PLOUMANAC'H (STAID: 11245).
Blended and updated with sources: 171625 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
171625,19790101,    2,    0
171625,19790102,   -3,    0
171625,19790103,   -3,    0
171625,19790104,    3,    0
171625,19790105,   14,    0
171625,19790106,   24,    0
171625,19790107,   41,    0
171625,19790108,   55,    0
171625,19790109,   54,    0
171625,19790110,   57,    0
171625,19790111,   61,    0
171625,19790112,   59,    0
171625,19790113,   35,    0
171625,19790114,   47,    0
171625,19790115,   79,    0
171625,19790116,   60,    0
171625,19790117,   26,    0
171625,19790118,    3,    0
171625,19790119,   34,    0
171625,19790120,   66,    0
171625,19790121,   63,    0
171625,19790122,   63,    0
171625,19790123,   60,    0
171625,19790124,   41,    0
171625,19790125,   30,    0
171625,19790126,   52,    0
171625,19790127,   35,    0
171625,19790128,   41,    0
171625,19790129,   48,    0
171625,19790130,   48,    0
171625,19790131,   58,    0
171625,19790201,   91,    0
171625,19790202,   83,    0
171625,19790203,   53,    0
171625,19790204,   65,    0
171625,19790205,   77,    0
171625,19790206,   84,    0
171625,19790207,   92,    0
171625,19790208,   69,    0
171625,19790209,   75,    0
171625,19790210,  101,    0
171625,19790211,   68,    0
171625,19790212,   88,    0
171625,19790213,   88,    0
171625,19790214,   47,    0
171625,19790215,    1,    0
171625,19790216,    4,    0
171625,19790217,   28,    0
171625,19790218,   40,    0
171625,19790219,   68,    0
171625,19790220,   48,    0
171625,19790221,   15,    0
171625,19790222,   47,    0
171625,19790223,   60,    0
171625,19790224,   51,    0
171625,19790225,   43,    0
171625,19790226,   42,    0
171625,19790227,   60,    0
171625,19790228,   45,    0
171625,19790301,   58,    0
171625,19790302,   92,    0
171625,19790303,  103,    0
171625,19790304,   76,    0
171625,19790305,   66,    0
171625,19790306,   58,    0
171625,19790307,   66,    0
171625,19790308,   78,    0
171625,19790309,   97,    0
171625,19790310,   77,    0
171625,19790311,  104,    0
171625,19790312,   88,    0
171625,19790313,  100,    0
171625,19790314,   47,    0
171625,19790315,   41,    0
171625,19790316,   32,    0
171625,19790317,   48,    0
171625,19790318,   64,    0
171625,19790319,   65,    0
171625,19790320,   65,    0
171625,19790321,   62,    0
171625,19790322,   62,    0
171625,19790323,   59,    0
171625,19790324,   84,    0
171625,19790325,  116,    0
171625,19790326,   73,    0
171625,19790327,   77,    0
171625,19790328,   58,    0
171625,19790329,   57,    0
171625,19790330,   59,    0
171625,19790331,   89,    0
171625,19790401,   88,    0
171625,19790402,   68,    0
171625,19790403,   49,    0
171625,19790404,   53,    0
171625,19790405,   58,    0
171625,19790406,   61,    0
171625,19790407,   56,    0
171625,19790408,   78,    0
171625,19790409,  108,    0
171625,19790410,  121,    0
