EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BELLE ILE - LE TALUT (STAID: 11247).
Blended and updated with sources: 171634 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
171634,19790101,   20,    0
171634,19790102,   15,    0
171634,19790103,   37,    0
171634,19790104,   28,    0
171634,19790105,   16,    0
171634,19790106,    3,    0
171634,19790107,    1,    0
171634,19790108,   33,    0
171634,19790109,   70,    0
171634,19790110,   86,    0
171634,19790111,   73,    0
171634,19790112,   75,    0
171634,19790113,   53,    0
171634,19790114,   67,    0
171634,19790115,   49,    0
171634,19790116,   37,    0
171634,19790117,   10,    0
171634,19790118,   13,    0
171634,19790119,   54,    0
171634,19790120,   84,    0
171634,19790121,   60,    0
171634,19790122,   72,    0
171634,19790123,   80,    0
171634,19790124,   38,    0
171634,19790125,   44,    0
171634,19790126,   61,    0
171634,19790127,   42,    0
171634,19790128,   46,    0
171634,19790129,   66,    0
171634,19790130,   66,    0
171634,19790131,   65,    0
171634,19790201,   92,    0
171634,19790202,   86,    0
171634,19790203,   58,    0
171634,19790204,   69,    0
171634,19790205,   96,    0
171634,19790206,   98,    0
171634,19790207,  106,    0
171634,19790208,   86,    0
171634,19790209,   99,    0
171634,19790210,  100,    0
171634,19790211,   97,    0
171634,19790212,  100,    0
171634,19790213,  102,    0
171634,19790214,   74,    0
171634,19790215,   -1,    0
171634,19790216,    0,    0
171634,19790217,   28,    0
171634,19790218,   51,    0
