EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, ORLY (STAID: 11249).
Blended and updated with sources: 171642 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
171642,19790101,  -74,    0
171642,19790102,  -30,    0
171642,19790103,  -39,    0
171642,19790104,  -32,    0
171642,19790105,  -50,    0
171642,19790106,  -70,    0
171642,19790107,  -94,    0
171642,19790108,  -85,    0
171642,19790109,  -30,    0
171642,19790110,    4,    0
171642,19790111,   13,    0
171642,19790112,   -6,    0
171642,19790113,  -16,    0
171642,19790114,  -73,    0
171642,19790115,  -14,    0
171642,19790116,  -36,    0
171642,19790117,  -45,    0
171642,19790118,  -21,    0
171642,19790119,   -8,    0
171642,19790120,   45,    0
171642,19790121,   24,    0
171642,19790122,   16,    0
171642,19790123,   42,    0
171642,19790124,   17,    0
171642,19790125,   -5,    0
171642,19790126,    6,    0
171642,19790127,   -8,    0
171642,19790128,   -1,    0
171642,19790129,   28,    0
171642,19790130,   34,    0
171642,19790131,   30,    0
171642,19790201,   51,    0
171642,19790202,   65,    0
171642,19790203,   26,    0
171642,19790204,   23,    0
171642,19790205,   49,    0
171642,19790206,   38,    0
171642,19790207,   71,    0
171642,19790208,   38,    0
171642,19790209,   41,    0
171642,19790210,   41,    0
171642,19790211,   70,    0
171642,19790212,   96,    0
171642,19790213,   84,    0
171642,19790214,   41,    0
171642,19790215,  -30,    0
171642,19790216,  -26,    0
171642,19790217,  -18,    0
171642,19790218,   -6,    0
171642,19790219,    6,    0
171642,19790220,   17,    0
171642,19790221,   36,    0
171642,19790222,   10,    0
171642,19790223,   30,    0
171642,19790224,   25,    0
171642,19790225,   10,    0
171642,19790226,   30,    0
171642,19790227,   24,    0
171642,19790228,   29,    0
171642,19790301,   22,    0
171642,19790302,   43,    0
171642,19790303,   92,    0
171642,19790304,   86,    0
171642,19790305,   45,    0
171642,19790306,   38,    0
171642,19790307,   62,    0
171642,19790308,   50,    0
171642,19790309,   74,    0
171642,19790310,   56,    0
171642,19790311,   95,    0
171642,19790312,  100,    0
171642,19790313,  110,    0
171642,19790314,   98,    0
171642,19790315,   50,    0
171642,19790316,   15,    0
171642,19790317,   38,    0
171642,19790318,   64,    0
